approximator,budget,error
montecarlo,32.0,483.4189983149819
montecarlo,64.0,242.766606074741
montecarlo,128.0,154.18435946381678
montecarlo,256.0,96.42008219204021
montecarlo,512.0,42.342260834267414
svarm,32.0,133.47520171469245
svarm,64.0,191.26134524887584
svarm,128.0,175.44235273736382
svarm,256.0,78.73869987484427
svarm,512.0,20.114297415138434
permutation,32.0,36.74575807623472
permutation,64.0,49.00137865716427
permutation,128.0,50.10071912872452
permutation,256.0,50.434312948651645
permutation,512.0,51.698872744838155
regression,32.0,602.962396389192
regression,64.0,43.03377428832586
regression,128.0,11.51153534437224
regression,256.0,6.3783990048493315
regression,512.0,4.747491908018654
