approximator,budget,error,seed
montecarlo,32.0,11396.603620776063,9
montecarlo,64.0,5770.451322256283,9
montecarlo,128.0,3566.8421702759297,9
montecarlo,256.0,2239.4435603554944,9
montecarlo,512.0,1004.0245329032913,9
svarm,32.0,3084.1463172581716,9
svarm,64.0,4421.997540454816,9
svarm,128.0,4108.98529450467,9
svarm,256.0,1837.3926049811598,9
svarm,512.0,508.62712398012974,9
permutation,32.0,938.6208045417518,9
permutation,64.0,1156.2475755176456,9
permutation,128.0,1170.278639382252,9
permutation,256.0,1193.5117477615377,9
permutation,512.0,1203.3207701257047,9
regression,32.0,29547.96482174777,9
regression,64.0,812.8344281383784,9
regression,128.0,217.86012072741505,9
regression,256.0,134.02923456359702,9
regression,512.0,97.40922092146467,9
