approximator,budget,error,seed
montecarlo,512.0,93.27476728852803,28
montecarlo,1024.0,55.715085995288774,28
montecarlo,2048.0,34.82030704441397,28
montecarlo,4096.0,23.05212246088976,28
montecarlo,8192.0,13.03107835833395,28
svarm,512.0,113.51712480771248,28
svarm,1024.0,39.42179573973578,28
svarm,2048.0,21.460327038745525,28
svarm,4096.0,13.915890653206235,28
svarm,8192.0,8.098468130684688,28
permutation,512.0,4.949247162994065,28
permutation,1024.0,3.1294257189431627,28
permutation,2048.0,1.7118162901516103,28
permutation,4096.0,0.8816017914624462,28
permutation,8192.0,0.5661719574158559,28
regression,512.0,3.073590769469704,28
regression,1024.0,1.5610398058903898,28
regression,2048.0,0.8913669877973239,28
regression,4096.0,0.555649879166129,28
regression,8192.0,0.3190216436203953,28
