approximator,budget,error,seed
montecarlo,512.0,52.33046006044924,3
montecarlo,1024.0,29.828680892810965,3
montecarlo,2048.0,19.246692782278274,3
montecarlo,4096.0,12.715020130641872,3
montecarlo,8192.0,7.128868626088776,3
svarm,512.0,67.91722897812772,3
svarm,1024.0,18.902433241065918,3
svarm,2048.0,9.399731804078678,3
svarm,4096.0,5.959910602132513,3
svarm,8192.0,3.5971422054581104,3
permutation,512.0,1.1404039409530657,3
permutation,1024.0,0.6632254604026335,3
permutation,2048.0,0.2630332676866913,3
permutation,4096.0,0.1456860711756344,3
permutation,8192.0,0.11530155530247763,3
regression,512.0,0.8619918237960735,3
regression,1024.0,0.4387275712169118,3
regression,2048.0,0.22474519537567442,3
regression,4096.0,0.12751079700707635,3
regression,8192.0,0.06839142235094586,3
