ds,is_td,cindex,lb,ub
hdfail,False,0.8740911660890417,0.8635468387226476,0.884291106352419
e1684,False,0.48982109808760027,0.4402010821554991,0.5358681079433079
phpl04K8a,False,0.6244534140598722,0.57850019445862,0.6667842385443591
prostate,False,0.6172253535053891,0.5817963857848142,0.6556801396200449
cancer,False,0.589648798521257,0.5131308309828596,0.6642666559530365
DBCD,False,0.7069505322479649,0.6546182112121796,0.7742932198772833
LeukSurv,False,0.6504181600955794,0.6272331919930066,0.6732731897663585
Dialysis,False,0.6372321562261117,0.6183915197203917,0.6573907700967471
Melanoma,False,0.7284382284382285,0.6494765944553855,0.7993023588653145
d.oropha.rec,False,0.6929238985313751,0.638081441111869,0.7490190359507004
pharmacoSmoking,False,0.6246105919003115,0.5667615956230606,0.6799181206113794
zinc,False,0.7748076923076923,0.7091702694138938,0.8441779722648625
nki70,False,0.7040358744394619,0.6264765247915753,0.793575956337649
burn,False,0.5724789915966386,0.461428955453149,0.6848148655435329
breast,False,0.8762626262626263,0.8195384137180749,0.927501095558477
stagec,False,0.6189591078066915,0.5099364587504135,0.7324391626226489
ovarian,False,0.7727272727272727,0.5789473684210527,0.9047619047619048
actg,False,0.7200908330345405,0.6508975214523297,0.7861895185323722
rhc,False,0.6907366145601964,0.6810589081151767,0.6996745832371611
rdata,False,0.6776306150555279,0.6551562018276301,0.7039083206662254
vlbw,False,0.8835091083413231,0.8540000355225416,0.9221092142876226
grace,False,0.7013367342118936,0.6706885572240251,0.7290083614862685
TRACE,False,0.7344342979127134,0.7170659409389043,0.7534926226012775
whas500,False,0.8499450348112861,0.8195144103092283,0.8821708133910363
dataDIVAT1,False,0.6364734662346302,0.6130276374668393,0.6584775750720585
Bergamaschi,False,0.7935483870967742,0.7113622063758389,0.8751543209876543
AML_Bull,False,0.5155555555555555,0.4062230087427793,0.6048602038149986
prostateSurvival,False,0.6882113166959664,0.6660285021546105,0.7095527886735528
nwtco,False,0.7030157827770107,0.678050412579979,0.7272431486086579
divorce,False,0.5424196381698502,0.5205250542589666,0.5647189433212317
dataDIVAT3,False,0.6872777986530624,0.6542395035279115,0.7285715559614916
uis,False,0.5794556628621598,0.5431406382449906,0.6130041908458241
colon,False,0.633213433526835,0.5976726870688724,0.6646068142376959
glioma,False,0.8571428571428571,0.8113207547169812,0.9423076923076923
follic,False,0.5639655824508321,0.5249537583024643,0.6089484948712155
mgus,False,0.7002683020314296,0.6566205802408165,0.7554011417142381
Aids2,False,0.560945363429809,0.5423649187148443,0.5775512156404261
Z243,False,0.9459459459459459,0.9229998072103336,0.9734818183094045
veteran,False,0.7272727272727273,0.6779656627661615,0.792843941022638
chop,False,0.69377990430622,0.6466768363215732,0.7386219066097218
wpbc,False,0.7044334975369458,0.6179123770173717,0.7757366593714393
ova,False,0.6334888059701492,0.5974226134845614,0.6711465224653255
micro.censure,False,0.26515151515151514,0.1651376146788991,0.40900255754475706
MCLcleaned,False,0.7148936170212766,0.6291643684500827,0.8041233766233766
cost,False,0.6422312830745207,0.6089225770172022,0.672346793915947
gse1992,False,0.6374045801526718,0.4863779838232393,0.7993877551020409
smarto,False,0.6825249778362171,0.652677954921372,0.7153881962534422
NSBCD,False,0.6596638655462185,0.5619407870808176,0.7631671936023805
retinopathy,False,0.6759656652360515,0.6178255749835997,0.7234045108676588
support2,False,0.8409190627564591,0.8356495098297441,0.8460701141437055
pbc,False,0.7542690545605998,0.7054794086995789,0.8070177588391109
Pbc3,False,0.7893129770992366,0.72505995362996,0.8420805406292405
UnempDur,False,0.6550782449565375,0.6416883965205874,0.6686748190318796
cgd,False,0.39009287925696595,0.28726885880077374,0.5239087600097063
acath,False,0.5525821768538488,0.5394464714717885,0.5647939092892493
scania,False,0.5197668466120625,0.4988556099420194,0.5406243326466538
GBSG2,False,0.7110202719612914,0.6800894680159241,0.745620875338869
gse3143,False,0.6593406593406593,0.5479657710670676,0.7561025589764094
Unemployment,False,0.5279818118223155,0.4925387452425161,0.5564751950881413
gse4335,False,0.7532467532467533,0.6596351868196528,0.8355263157894737
rott2,False,0.6915415060089869,0.6743766253981675,0.7087495935154078
DLBCL,False,0.6280020439448135,0.5793385377934108,0.7051613102024467
dataOvarian1,False,0.5844959255940954,0.5500230002281392,0.617856722003393
diabetes,False,0.6373043917213529,0.5844221549817393,0.691495143204359
vdv,False,0.5621621621621622,0.455995115995116,0.6783333333333333
hepatoCellular,False,0.5880661394680087,0.5110218978102189,0.6788078002815803
flchain,False,0.9331816799888,0.9303292984678214,0.9357770969766495
Framingham,False,0.7157249427235644,0.7019997468927618,0.7291584398161993
dataDIVAT2,False,0.6236461749675845,0.5921370307868428,0.6562306249304427
